[0:10:42] (PlayerName:Kane_Sanders | UserName:LasDos) :plant
[0:10:45] (PlayerName:Kane_Sanders | UserName:LasDos) :takemarijuana
[0:10:52] (PlayerName:Kane_Sanders | UserName:LasDos) :ri 2
[0:10:54] (PlayerName:Sam_Teller | UserName:Attali) :aim*
[0:10:54] (PlayerName:Sam_Teller | UserName:Attali) :aim*
[0:10:54] (PlayerName:Sam_Teller | UserName:Attali) :aim*
[0:10:55] (PlayerName:Jeffry_Cross | UserName:ASPRO) :f khod ra7tk ila bghiti tsna 7ta nji
[0:11:6] (PlayerName:Jester_Gomez | UserName:ladoss) :stopanim
[0:11:6] (PlayerName:Jester_Gomez | UserName:ladoss) :gate
[0:11:10] (PlayerName:Jester_Gomez | UserName:ladoss) :copcome
[0:11:13] (PlayerName:Kane_Sanders | UserName:LasDos) :harvest
[0:11:15] (PlayerName:Tony_Accardo | UserName:Yassir980) :pay 7 10000
[0:11:16] (PlayerName:Kane_Sanders | UserName:LasDos) :harvest
[0:11:17] (PlayerName:Denver_Morata | UserName:denver) :pay 4 1000
[0:11:18] (PlayerName:Jester_Gomez | UserName:ladoss) :stopanim
[0:11:18] (PlayerName:Jester_Gomez | UserName:ladoss) :gate
[0:11:21] (PlayerName:Fades_Moore | UserName:SAMIRBOJI) :f sf 7ta tji
[0:11:24] (PlayerName:Jester_Gomez | UserName:ladoss) :f copcome
[0:11:29] (PlayerName:Kane_Sanders | UserName:LasDos) :plant
[0:11:32] (PlayerName:Jester_Gomez | UserName:ladoss) :copstop
[0:11:33] (PlayerName:Jester_Gomez | UserName:ladoss) :stopanim
[0:11:33] (PlayerName:Jester_Gomez | UserName:ladoss) :gate
[0:11:35] (PlayerName:Jester_Gomez | UserName:ladoss) :copstop
[0:11:39] (PlayerName:Jester_Gomez | UserName:ladoss) :stopanim
[0:11:39] (PlayerName:Jester_Gomez | UserName:ladoss) :gate
[0:11:41] (PlayerName:Sam_Teller | UserName:Attali) :idle
[0:11:43] (PlayerName:Jester_Gomez | UserName:ladoss) :f copcome
[0:11:55] (PlayerName:Kane_Sanders | UserName:LasDos) :takemarijuana
[0:12:0] (PlayerName:Alexa_Gomez | UserName:KEKE) :copcome
[0:12:4] (PlayerName:Jeffry_Cross | UserName:ASPRO) :f ana tma
[0:12:4] (PlayerName:Jeffry_Cross | UserName:ASPRO) :Talk In Radio
[0:12:4] (PlayerName:Jeffry_Cross | UserName:ASPRO) :Talking On The Radio
[0:12:4] (PlayerName:Jeffry_Cross | UserName:ASPRO) :me Talking On The Radio
[0:12:12] (PlayerName:Jester_Gomez | UserName:ladoss) :stopanim
[0:12:12] (PlayerName:Jester_Gomez | UserName:ladoss) :gate
[0:12:13] (PlayerName:Tony_Accardo | UserName:Yassir980) :Turned On / Off The Engine
[0:12:15] (PlayerName:Tony_Accardo | UserName:Yassir980) :throwaway
[0:12:15] (PlayerName:Tony_Accardo | UserName:Yassir980) :belt
[0:12:17] (PlayerName:Jester_Gomez | UserName:ladoss) :stopanim
[0:12:17] (PlayerName:Jester_Gomez | UserName:ladoss) :gate
[0:12:25] (PlayerName:Jeffry_Cross | UserName:ASPRO) :friends
[0:12:26] (PlayerName:Jeffry_Cross | UserName:ASPRO) :friends
[0:12:26] (PlayerName:Jester_Gomez | UserName:ladoss) :stopanim
[0:12:27] (PlayerName:Jester_Gomez | UserName:ladoss) :gate
[0:12:27] (PlayerName:Sam_Teller | UserName:Attali) :aim*
[0:12:27] (PlayerName:Tony_Accardo | UserName:Yassir980) :Turned On / Off The Engine
[0:12:27] (PlayerName:Sam_Teller | UserName:Attali) :aim*
[0:12:28] (PlayerName:Sam_Teller | UserName:Attali) :aim*
[0:12:28] (PlayerName:Jester_Gomez | UserName:ladoss) :stopanim
[0:12:28] (PlayerName:Jester_Gomez | UserName:ladoss) :gate
[0:12:31] (PlayerName:Fades_Moore | UserName:SAMIRBOJI) :f ana 9damk 
[0:12:31] (PlayerName:Sam_Teller | UserName:Attali) :aim*
[0:12:31] (PlayerName:Jester_Gomez | UserName:ladoss) :stopanim
[0:12:31] (PlayerName:Jester_Gomez | UserName:ladoss) :gate
[0:12:31] (PlayerName:Sam_Teller | UserName:Attali) :aim*
[0:12:38] (PlayerName:Jeffry_Cross | UserName:ASPRO) :admins
[0:12:40] (PlayerName:Jester_Gomez | UserName:ladoss) :stopanim
[0:12:40] (PlayerName:Jester_Gomez | UserName:ladoss) :gate
[0:12:42] (PlayerName:Kane_Sanders | UserName:LasDos) :harvest
[0:12:45] (PlayerName:Scott_Lopez | UserName:haytamix) :cr
[0:12:49] (PlayerName:Jester_Gomez | UserName:ladoss) :stopanim
[0:12:49] (PlayerName:Jester_Gomez | UserName:ladoss) :gate
[0:12:49] (PlayerName:Jeffry_Cross | UserName:ASPRO) :friends
[0:12:50] (PlayerName:Jeffry_Cross | UserName:ASPRO) :friends
[0:12:50] (PlayerName:Scott_Lopez | UserName:haytamix) :watch
[0:12:51] (PlayerName:Sam_Teller | UserName:Attali) :dance 3
[0:12:51] (PlayerName:Jeffry_Cross | UserName:ASPRO) :friends
[0:12:51] (PlayerName:Jeffry_Cross | UserName:ASPRO) :friends
[0:12:54] (PlayerName:Denver_Morata | UserName:denver) :wait
[0:12:55] (PlayerName:Kane_Sanders | UserName:LasDos) :plant
[0:12:59] (PlayerName:Jester_Gomez | UserName:ladoss) :lean
[0:13:4] (PlayerName:Sam_Teller | UserName:Attali) :pic
[0:13:4] (PlayerName:Sam_Teller | UserName:Attali) :carchat
[0:13:5] (PlayerName:Jester_Gomez | UserName:ladoss) :stopanim
[0:13:5] (PlayerName:Jester_Gomez | UserName:ladoss) :gate
[0:13:11] (PlayerName:Jester_Gomez | UserName:ladoss) :me kijbed colt mn jibo
[0:13:14] (PlayerName:Denver_Morata | UserName:denver) :wait
[0:13:15] (PlayerName:Tony_Accardo | UserName:Yassir980) :pay 1 2
[0:13:16] (PlayerName:Jester_Gomez | UserName:ladoss) :lean
[0:13:18] (PlayerName:Jester_Gomez | UserName:ladoss) :stopanim
[0:13:18] (PlayerName:Jester_Gomez | UserName:ladoss) :gate
[0:13:32] (PlayerName:Tony_Accardo | UserName:Yassir980) :pay 1 20
[0:13:33] (PlayerName:Yone_Fizi | UserName:shanki1z) :setvol 5
[0:13:34] (PlayerName:Jeffry_Cross | UserName:ASPRO) :Talk In Radio
[0:13:34] (PlayerName:Jeffry_Cross | UserName:ASPRO) :Talking On The Radio
[0:13:34] (PlayerName:Jeffry_Cross | UserName:ASPRO) :me Talking On The Radio
[0:13:36] (PlayerName:Yone_Fizi | UserName:shanki1z) :setvol 10
[0:13:39] (PlayerName:Tony_Accardo | UserName:Yassir980) :pay 1 200
[0:13:42] (PlayerName:Kane_Sanders | UserName:LasDos) :takemarijuana
[0:13:45] (PlayerName:Tony_Accardo | UserName:Yassir980) :pay 1 2000
[0:13:47] (PlayerName:Orlando_Mancini | UserName:nex) :gate
[0:13:47] (PlayerName:Scott_Lopez | UserName:haytamix) :showfps
[0:13:52] (PlayerName:Scott_Lopez | UserName:haytamix) :showfps
[0:13:56] (PlayerName:Tony_Accardo | UserName:Yassir980) :pay 1 20000
[0:13:56] (PlayerName:Michael_Montana | UserName:Mezrari) :clearchat
[0:13:59] (PlayerName:Jeffry_Cross | UserName:ASPRO) :gate
[0:14:4] (PlayerName:Michael_Montana | UserName:Mezrari) :seefar 250
[0:14:5] (PlayerName:Fades_Moore | UserName:SAMIRBOJI) :Kidir samta / ki7ydha
[0:14:11] (PlayerName:Kane_Sanders | UserName:LasDos) :harvest
[0:14:14] (PlayerName:Kane_Sanders | UserName:LasDos) :harvest
[0:14:14] (PlayerName:Fades_Moore | UserName:SAMIRBOJI) :Talk On radio
[0:14:15] (PlayerName:Kane_Sanders | UserName:LasDos) :harvest
[0:14:15] (PlayerName:Fades_Moore | UserName:SAMIRBOJI) :Talk On radio
[0:14:15] (PlayerName:Fades_Moore | UserName:SAMIRBOJI) :Talk On radio
[0:14:15] (PlayerName:Fades_Moore | UserName:SAMIRBOJI) :Talk On radio
[0:14:29] (PlayerName:Kane_Sanders | UserName:LasDos) :plant
[0:14:33] (PlayerName:Denver_Morata | UserName:denver) :wait
[0:14:35] (PlayerName:Michael_Montana | UserName:Mezrari) :clearchat
[0:14:38] (PlayerName:RobErto_Jmaes | UserName:reboretojames) :pozemenu
[0:14:41] (PlayerName:RobErto_Jmaes | UserName:reboretojames) :pozemenu
[0:14:42] (PlayerName:RobErto_Jmaes | UserName:reboretojames) :login ***
[0:14:43] (PlayerName:Michael_Montana | UserName:Mezrari) :seefar 500
[0:14:45] (PlayerName:Jeffry_Cross | UserName:ASPRO) :Talk In Radio
