[0:7:9] (PlayerName:Flawless_Spelman | UserName:flawless) :duty
[0:7:13] (PlayerName:William_Sdog | UserName:aminelmerda) :gate
[0:7:15] (PlayerName:Fezed_Gaviria | UserName:faouzi) :clearchat
[0:7:15] (PlayerName:Fezed_Gaviria | UserName:faouzi) :me
[0:7:18] (PlayerName:Flawless_Spelman | UserName:flawless) :duty
[0:7:24] (PlayerName:Eric_Geostrica | UserName:CHLH) :showfactions
[0:7:31] (PlayerName:Michael_Montana | UserName:Mezrari) :f nakhdha?
[0:7:32] (PlayerName:Conor_Clover | UserName:REXdoom77) :fall
[0:7:32] (PlayerName:Conor_Clover | UserName:REXdoom77) :fall
[0:7:37] (PlayerName:Josef_Descender | UserName:N1CHO) :f 3yana sara7a
[0:7:38] (PlayerName:Eric_Geostrica | UserName:CHLH) :is wa karim wa fin nji bach nkmlo action
[0:7:39] (PlayerName:Conor_Clover | UserName:REXdoom77) :friends
[0:7:40] (PlayerName:Josef_Descender | UserName:N1CHO) :gate
[0:7:40] (PlayerName:Tommy_Hazard | UserName:MrKarim) :me kay 9ayd plate dyal motor
[0:7:41] (PlayerName:Conor_Clover | UserName:REXdoom77) :friends
[0:7:42] (PlayerName:Conor_Clover | UserName:REXdoom77) :friends
[0:7:44] (PlayerName:Flawless_Spelman | UserName:flawless) :duty
[0:7:48] (PlayerName:Conor_Clover | UserName:REXdoom77) :friends
[0:7:48] (PlayerName:Kassou_Abderahman | UserName:Queeesu) :dive
[0:7:48] (PlayerName:Kassou_Abderahman | UserName:Queeesu) :dance 7
[0:7:50] (PlayerName:Fezed_Gaviria | UserName:faouzi) :clearchat
[0:7:50] (PlayerName:Fezed_Gaviria | UserName:faouzi) :me
[0:7:52] (PlayerName:Josef_Descender | UserName:N1CHO) :f aji nwarik w7da
[0:7:57] (PlayerName:Michael_Montana | UserName:Mezrari) :fixveh Michael_Montana
[0:7:58] (PlayerName:Eric_Geostrica | UserName:CHLH) :recon 18
[0:8:0] (PlayerName:Conor_Clover | UserName:REXdoom77) :wait
[0:8:9] (PlayerName:Frank_Pezzulo | UserName:ErenSenpai) :gate
[0:8:9] (PlayerName:Frank_Pezzulo | UserName:ErenSenpai) :me opening/close the door
[0:8:10] (PlayerName:Yone_Fizi | UserName:shanki1z) :crack
[0:8:13] (PlayerName:Flawless_Spelman | UserName:flawless) :duty
[0:8:17] (PlayerName:Javier_Hescula | UserName:oussama) :me kay7al lih lbab
[0:8:25] (PlayerName:Yone_Fizi | UserName:shanki1z) :crack
[0:8:26] (PlayerName:Michael_Montana | UserName:Mezrari) :fixveh Michael_Montana
[0:8:31] (PlayerName:Eric_Geostrica | UserName:CHLH) :check 18
[0:8:36] (PlayerName:Michael_Montana | UserName:Mezrari) :clearchat
[0:8:38] (PlayerName:Fezed_Gaviria | UserName:faouzi) :shootball
[0:8:39] (PlayerName:Fezed_Gaviria | UserName:faouzi) :WAIT
[0:8:39] (PlayerName:Denver_Morata | UserName:denver) :gate
[0:8:42] (PlayerName:Flawless_Spelman | UserName:flawless) :duty
[0:8:47] (PlayerName:Denver_Morata | UserName:denver) :friends
[0:8:48] (PlayerName:Denver_Morata | UserName:denver) :friends
[0:8:49] (PlayerName:Orland_Anderson | UserName:9wi9iza) :lay 2
[0:8:50] (PlayerName:Fezed_Gaviria | UserName:faouzi) :clearchat
[0:8:50] (PlayerName:Fezed_Gaviria | UserName:faouzi) :me
[0:8:54] (PlayerName:Yone_Fizi | UserName:shanki1z) :p allo 
[0:8:55] (PlayerName:Orland_Anderson | UserName:9wi9iza) :lay 2
[0:8:55] (PlayerName:Moza_Diaz | UserName:moza) :p wee hhhhhhhh
[0:8:57] (PlayerName:Yone_Fizi | UserName:shanki1z) :p fink 
[0:9:0] (PlayerName:Eric_Geostrica | UserName:CHLH) :recon 30
[0:9:2] (PlayerName:Tommy_Hazard | UserName:MrKarim) :me kay jbd minot 
[0:9:4] (PlayerName:Moza_Diaz | UserName:moza) :p fink nta
[0:9:6] (PlayerName:William_Sdog | UserName:aminelmerda) :gate
[0:9:13] (PlayerName:Yone_Fizi | UserName:shanki1z) :p ji eeadna le pisine darori 
[0:9:17] (PlayerName:Yone_Fizi | UserName:shanki1z) :p pls
[0:9:19] (PlayerName:Moza_Diaz | UserName:moza) :p ATT
[0:9:24] (PlayerName:Josef_Descender | UserName:N1CHO) :AIM
[0:9:25] (PlayerName:Yone_Fizi | UserName:shanki1z) :p ok hyd wa db 
[0:9:25] (PlayerName:Moza_Diaz | UserName:moza) :p ATT ANA jay
[0:9:29] (PlayerName:Yone_Fizi | UserName:shanki1z) :p ok 
[0:9:43] (PlayerName:William_Sdog | UserName:aminelmerda) :gate
[0:9:46] (PlayerName:Fezed_Gaviria | UserName:faouzi) :311
[0:9:55] (PlayerName:Fezed_Gaviria | UserName:faouzi) :911
[0:10:0] (PlayerName:Eric_Geostrica | UserName:CHLH) :recon 1
[0:10:4] (PlayerName:Eric_Geostrica | UserName:CHLH) :ar 4
[0:10:4] (PlayerName:Josef_Descender | UserName:N1CHO) :setvol 0
[0:10:4] (PlayerName:Mhamed_Roubal | UserName:simo1michcou) :fall
[0:10:7] (PlayerName:Fezed_Gaviria | UserName:faouzi) :911 Want Medic F Medic
[0:10:10] (PlayerName:Mhamed_Roubal | UserName:simo1michcou) :fall
[0:10:19] (PlayerName:Fezed_Gaviria | UserName:faouzi) :t Want Medic 
[0:10:30] (PlayerName:Flawless_Spelman | UserName:flawless) :friends
[0:10:30] (PlayerName:Flawless_Spelman | UserName:flawless) :friends
[0:10:31] (PlayerName:Fezed_Gaviria | UserName:faouzi) :clearchat
[0:10:31] (PlayerName:Fezed_Gaviria | UserName:faouzi) :me
